time,value
2024-07-28T01:01:30.798320839Z,38
2024-07-28T01:01:32.842203848Z,108
2024-07-28T01:01:33.354554355Z,7
2024-07-28T01:01:34.994204351Z,272
2024-07-28T01:01:35.504570213Z,12
2024-07-28T01:01:35.908349618Z,205
2024-07-28T01:01:37.958434954Z,200
2024-07-28T01:01:38.368750716Z,199
2024-07-28T01:01:41.234004113Z,254
2024-07-28T01:01:41.746190099Z,265
2024-07-28T01:01:42.672391012Z,222
2024-07-28T01:01:45.189630624Z,176
2024-07-28T01:01:45.534162935Z,175
2024-07-28T01:01:45.536054125Z,174
2024-07-28T01:01:45.537794315Z,178
2024-07-28T01:01:46.362381181Z,174
2024-07-28T01:01:46.762781237Z,128
2024-07-28T01:01:48.816767216Z,16
2024-07-28T01:01:49.733888927Z,80
2024-07-28T01:01:50.653314158Z,161
2024-07-28T01:01:51.475127797Z,10
2024-07-28T01:01:52.914415075Z,11
2024-07-28T01:01:54.24004019Z,75
2024-07-28T01:01:55.36505897Z,18
2024-07-28T01:01:56.081945941Z,63
2024-07-28T01:01:58.033661971Z,15
2024-07-28T01:02:01.679080113Z,14
2024-07-28T01:02:02.025952315Z,13
2024-07-28T01:02:02.027342514Z,14
2024-07-28T01:02:02.531772952Z,39
2024-07-28T01:02:03.561725428Z,12
2024-07-28T01:02:03.969205377Z,13
2024-07-28T01:02:05.706733508Z,13
2024-07-28T01:02:06.118714379Z,14
2024-07-28T01:02:07.146520701Z,18
2024-07-28T01:02:10.182307912Z,13
2024-07-28T01:02:10.521029092Z,14
2024-07-28T01:02:10.522523017Z,16
2024-07-28T01:02:10.524192079Z,14
2024-07-28T01:02:12.574089525Z,21
2024-07-28T01:02:14.314616176Z,31
2024-07-28T01:02:15.440965932Z,18
2024-07-28T01:02:15.947421583Z,16
2024-07-28T01:02:18.181339567Z,14
2024-07-28T01:02:18.619118721Z,13
2024-07-28T01:02:19.744896896Z,12
2024-07-28T01:02:19.746239236Z,15
2024-07-28T01:02:20.879299866Z,14
2024-07-28T01:02:21.681943491Z,41
2024-07-28T01:02:21.9884028Z,12
2024-07-28T01:02:23.22128555Z,13
2024-07-28T01:02:23.631868855Z,12
2024-07-28T01:02:24.655777956Z,79
2024-07-28T01:02:25.06212185Z,13
2024-07-28T01:02:25.881653718Z,12
2024-07-28T01:02:26.903598599Z,92
2024-07-28T01:02:27.313695238Z,11
2024-07-28T01:02:28.032708588Z,65
2024-07-28T01:02:28.751161126Z,12
2024-07-28T01:02:29.157821917Z,64
2024-07-28T01:02:29.977126268Z,12
2024-07-28T01:02:30.796309392Z,66
2024-07-28T01:02:31.205130779Z,12
2024-07-28T01:02:32.228631523Z,102
2024-07-28T01:02:34.679962426Z,70
2024-07-28T01:02:35.096849404Z,12
2024-07-28T01:02:35.09821764Z,18
2024-07-28T01:02:35.09988847Z,12
2024-07-28T01:02:36.137931215Z,13
2024-07-28T01:02:36.529684502Z,78
2024-07-28T01:02:37.043044598Z,12
2024-07-28T01:02:37.965956845Z,11
2024-07-28T01:02:38.374756965Z,12
2024-07-28T01:02:39.602185266Z,14
2024-07-28T01:02:40.012521851Z,101
2024-07-28T01:02:40.427514309Z,13
2024-07-28T01:02:41.445980016Z,11
2024-07-28T01:02:41.759329517Z,12
2024-07-28T01:02:43.089234048Z,13
2024-07-28T01:02:43.706707299Z,12
2024-07-28T01:02:44.107921023Z,13
2024-07-28T01:02:46.367475196Z,14
2024-07-28T01:02:47.80116846Z,15
2024-07-28T01:02:48.312801335Z,13
2024-07-28T01:02:50.459097247Z,15
2024-07-28T01:02:50.460608711Z,38
2024-07-28T01:02:50.462081725Z,13
2024-07-28T01:02:51.276128009Z,14
2024-07-28T01:02:52.095620043Z,12
2024-07-28T01:02:52.509155375Z,14
2024-07-28T01:02:53.223101567Z,16
2024-07-28T01:02:54.251657759Z,17
2024-07-28T01:02:54.552861915Z,16
2024-07-28T01:02:55.576653023Z,17
2024-07-28T01:02:56.516589166Z,16
2024-07-28T01:02:56.805492264Z,15
2024-07-28T01:03:00.704888054Z,16
2024-07-28T01:03:00.706545266Z,15
2024-07-28T01:03:00.708054809Z,14
2024-07-28T01:03:01.108210016Z,13
2024-07-28T01:03:03.974067382Z,16
2024-07-28T01:03:03.975621811Z,11
2024-07-28T01:03:03.977845735Z,10
2024-07-28T01:03:03.979233235Z,11
2024-07-28T01:03:05.20322053Z,12
2024-07-28T01:03:05.621857658Z,13
2024-07-28T01:03:07.046606659Z,13
2024-07-28T01:03:07.461679193Z,11
2024-07-28T01:03:08.684402716Z,9
2024-07-28T01:03:09.098470234Z,30
2024-07-28T01:03:11.681769316Z,11
2024-07-28T01:03:13.680393972Z,15
2024-07-28T01:03:13.682364252Z,89
2024-07-28T01:03:13.684095782Z,14
2024-07-28T01:03:14.215748702Z,16
2024-07-28T01:03:14.217364887Z,13
2024-07-28T01:03:14.219166077Z,11
2024-07-28T01:03:14.62476349Z,12
2024-07-28T01:03:15.558846891Z,14
2024-07-28T01:03:15.853128374Z,11
2024-07-28T01:03:16.883654664Z,13
2024-07-28T01:03:18.112359334Z,12
2024-07-28T01:03:18.113669323Z,24
2024-07-28T01:03:19.231343026Z,66
2024-07-28T01:03:19.538359204Z,91
2024-07-28T01:03:20.669401264Z,105
2024-07-28T01:03:20.971868899Z,102
2024-07-28T01:03:21.599877918Z,104
2024-07-28T01:03:22.610626258Z,97
2024-07-28T01:03:25.180895917Z,56
2024-07-28T01:03:25.682350506Z,43
2024-07-28T01:03:25.683718216Z,23
2024-07-28T01:03:25.685050944Z,89
2024-07-28T01:03:26.102475393Z,65
2024-07-28T01:03:26.502733313Z,10
2024-07-28T01:03:27.336040903Z,11
2024-07-28T01:03:28.140951634Z,14
2024-07-28T01:03:28.663878445Z,167
2024-07-28T01:03:29.174110598Z,14
2024-07-28T01:03:32.751826077Z,89
2024-07-28T01:03:32.753177068Z,92
2024-07-28T01:03:32.75479275Z,18
2024-07-28T01:03:32.756411266Z,95
2024-07-28T01:03:32.757811571Z,13
2024-07-28T01:03:35.68744182Z,85
2024-07-28T01:03:36.129008703Z,86
2024-07-28T01:03:36.130445107Z,87
2024-07-28T01:03:36.13205116Z,88
2024-07-28T01:03:36.543496977Z,16
2024-07-28T01:03:36.964464602Z,15
2024-07-28T01:03:38.181512311Z,13
2024-07-28T01:03:38.589457141Z,15
2024-07-28T01:03:39.310557837Z,93
2024-07-28T01:03:40.326390265Z,20
2024-07-28T01:03:47.689028269Z,45
2024-07-28T01:03:48.109429857Z,49
2024-07-28T01:03:48.111134279Z,19
2024-07-28T01:03:48.112544641Z,18
2024-07-28T01:03:48.113935599Z,22
2024-07-28T01:03:48.115282002Z,19
2024-07-28T01:03:48.116518328Z,17
2024-07-28T01:03:48.117891998Z,74
2024-07-28T01:03:48.11925287Z,18
2024-07-28T01:03:48.120859565Z,75
2024-07-28T01:03:48.122358334Z,17
2024-07-28T01:03:48.123639338Z,100
2024-07-28T01:03:49.030363983Z,23
2024-07-28T01:03:49.438985755Z,19
2024-07-28T01:03:52.102218014Z,21
2024-07-28T01:03:52.103789951Z,22
2024-07-28T01:03:52.105809709Z,16
2024-07-28T01:03:52.107262614Z,18
2024-07-28T01:03:53.043384717Z,8
2024-07-28T01:03:53.951573959Z,13
2024-07-28T01:03:54.379972169Z,94
2024-07-28T01:03:55.481798697Z,12
2024-07-28T01:03:55.483631662Z,15
2024-07-28T01:03:56.414787097Z,13
2024-07-28T01:03:56.813298472Z,15
2024-07-28T01:03:57.836874201Z,11
2024-07-28T01:03:58.246213756Z,13
2024-07-28T01:04:00.704904242Z,17
2024-07-28T01:04:00.706580184Z,11
2024-07-28T01:04:00.708305083Z,13
2024-07-28T01:04:01.124327103Z,12
2024-07-28T01:04:02.140627598Z,11
2024-07-28T01:04:02.546594641Z,12
2024-07-28T01:04:03.774705263Z,14
2024-07-28T01:04:04.593371396Z,103
2024-07-28T01:04:05.823421185Z,14
2024-07-28T01:04:07.973847788Z,106
2024-07-28T01:04:07.975476423Z,13
2024-07-28T01:04:09.510221358Z,97
2024-07-28T01:04:09.924789972Z,14
2024-07-28T01:04:10.841899231Z,94
2024-07-28T01:04:14.533406673Z,13
2024-07-28T01:04:14.534795588Z,17
2024-07-28T01:04:14.536361083Z,14
2024-07-28T01:04:14.537745188Z,17
2024-07-28T01:04:14.837317724Z,15
2024-07-28T01:04:15.664038911Z,103
2024-07-28T01:04:18.197211872Z,16
2024-07-28T01:04:18.523535095Z,14
2024-07-28T01:04:18.525173516Z,98
2024-07-28T01:04:18.526650005Z,12
2024-07-28T01:04:18.931451244Z,14
2024-07-28T01:04:19.655241455Z,16
2024-07-28T01:04:20.578349567Z,17
2024-07-28T01:04:21.408947099Z,104
2024-07-28T01:04:22.009255421Z,91
2024-07-28T01:04:22.821896121Z,17
2024-07-28T01:04:23.232324428Z,109
2024-07-28T01:04:26.684945499Z,98
2024-07-28T01:04:27.123087196Z,14
2024-07-28T01:04:27.124907676Z,18
2024-07-28T01:04:27.126770873Z,15
2024-07-28T01:04:27.128431975Z,14
2024-07-28T01:04:27.534257361Z,13
2024-07-28T01:04:28.556439741Z,12
2024-07-28T01:04:28.967599521Z,17
2024-07-28T01:04:29.7912628Z,12
